Swedish,English
Jag sov inte bra.,I didn't sleep well.
Hur vill du ha ditt kaffe?,How would you like your coffee?
Vem är jag? Var kommer jag från? Finns det liv efter döden? Vad är meningen med livet på jorden?,Who am I? Where do I come from? Is there life after death? What is the meaning of life on earth?
Jag behöver mer tid.,I need more time.
Jag är mycket trött.,I am very tired.
Ni behöver bara be om det.,You only have to ask for it.
Det finns ett par här.,There's a couple here.
Är det något särskilt som du vill ha att äta?,Is there something in particular that you want to eat?
Jag kan inte leva utan dig.,I can't live without you.
En efter en reste sig och gick.,One after another they stood up and went out.
Det ni fick lära er är fel.,What you were taught is wrong.
Du borde inte vara arg.,You shouldn't be angry.
Tror du att vi kommer att hitta hennes hus?,Do you think that we'll find her house?
Jag kan komma klockan tre.,I can come at three.
Jag läser den här boken.,I'm reading this book.
Min bror är lika lång som jag.,My brother is as tall as me.
Han talar lite engelska.,He speaks a little English.
Det finns en hund i det här rummet.,There is a dog in this room.
Jag vet inte vad jag ska säga.,I'm at a loss for words.
Jag var bara där en gång.,I only went there once.
Är det något särskilt som du vill?,Is there something in particular that you want?
Jag gjorde kaffe åt dig.,I made you coffee.
Han sprang för att komma i tid.,"He ran, so as to arrive on time."
Hur länge har de varit här?,How long have they been here?
Ni behöver bara be om den.,You only have to ask for it.
Han tog sin tid.,He took his time.
Jag tycker att din engelska har blivit mycket bättre.,I think your English has improved a lot.
Vad vill du bli när du blir stor?,What would you like to be when you grow up?
Jag förtjänar inte det här.,I don't deserve this.
Det här är en liten bok.,This is a small book.
Han frågade mig vem jag var.,He asked me who I was.
Ni vet att vi inte har så mycket tid just nu.,You know that we don't have much time right now.
"Jag är ledsen, jag tror inte att jag kommer kunna.","I'm sorry, I don't think I'll be able to."
Jag skulle vilja köpa en hund.,I would like to buy a dog.
Det var väldigt roligt.,It was very funny.
Jag skulle inte vilja vara i hennes skor.,I wouldn't like to be in her shoes.
Jag trodde att du åkte hem.,I thought you went home.
Jag kan inte se någonting.,I couldn't see a thing.
Jag kan bara inte sova.,I just can't sleep.
Jag kan inte sova bara.,I just can't sleep.
Och vad berättade de för mig?,And what did they tell me?
Jag gillar att simma.,I like swimming.
Han skulle ha gjort det redan.,He would have done it already.
Vi förstår.,We understand.
Allt gick bra.,Everything went well.
Så vad hände?,So what happened?
Kan ni höra mig?,Can you hear me?
Tror ni att vi kommer att hitta hennes hus?,Do you think that we'll find her house?
Den är för liten.,It's too small.
När kommer du tillbaka?,When will you return?
Jag tycker inte om huset.,I do not like the house.
Jag måste ta mig hem.,I have to get home.
Sluta med det där.,Stop that.
Varför gör du så mot mig?,Why do you always do that to me?
De litar på dig.,They trust you.
Varför tror du att jag tänker på dig?,Why do you think that I'm thinking about you?
Det här är mitt skepp.,This is my ship.
Ha det så roligt.,Have fun.
Varför är ni alla här?,Why are you all here?
Vad läser du?,What are you reading?
Jag vill ha lite pengar.,I want some money.
Vem är det som läser?,Who is reading?
Jag dödade inte någon.,I didn't kill anyone.
Han är inte arg.,He is not mad.
Jag vill inte leva.,I don't want to live.
Jag kände din far.,I knew your father.
Jag är så stolt över dig.,I'm so proud of you.
Han var väldigt trött.,He was very tired.
Den bilen är hans.,That car is his.
Jag har redan gjort det.,I have already done it.
Jag har redan gjort det.,I have done it already.
Jag var på väg ut.,I was going out.
Du kan inte lita på någon.,You can't trust anyone.
Han har inte på sig en hatt.,He is not wearing a hat.
Han har inte en hatt på sig.,He is not wearing a hat.
Jag föddes här.,I was born here.
Vi behöver faktiskt inte göra det nu.,We actually don't have to do that now.
Jag håller på att bli bättre.,I'm getting better.
Känner ni dem?,Do you know them?
Jag ger upp.,I give up.
Vem är hon?,Who is she?
Vad skriver du?,What are you writing?
Varför skulle någon vilja göra det?,Why would anyone want to do that?
Jag tyckte att det var gott.,I thought it was good.
Jag förlorade allt som jag hade.,I lost everything I had.
Är du trött?,Are you tired?
Varför var du där?,Why were you there?
Ofta kommer han inte till skolan.,He often doesn't come to school.
Jag trodde att ni åkte hem.,I thought you went home.
Det här är riktigt illa.,This is really bad.
Jag hittade det just.,I just found it.
Vad kostar det?,How much will it cost?
Varför gjorde han det där?,Why did he do that?
Det är en buss här.,There's a bus here.
Hur mycket kostar det där?,How much is that?
Du får inte gå ut dit.,You can't go out there.
Var snäll mot henne.,Be nice to her.
Hur hände det där?,How did that happen?
Jag vet att du är upptagen.,I know you're busy.
Det finns inget annat att göra än att vänta på att platserna blir lediga.,We can do nothing but wait for a while until the seats are available.
Jag kom hit i går.,I came here yesterday.
Vi måste göra det igen.,We must do it again.
Jag är fortfarande arg på henne.,I'm still mad at her.
Var snäll och kom och hjälp mig.,Please come and help me.
Jag vet inte varför.,I don't know why.
Detta är väldigt lätt.,This is very easy.
Jag skulle vilja tro dig.,I'd like to believe you.
Jag önskar att vi hade mer tid.,I wish we had more time.
Vad vill du dricka?,What do you want to drink?
Jag har bara sett det en gång.,I've only seen it once.
Berätta inte för någon.,Don't tell anyone.
Stanna där du är!,Stand where you are!
Jag känner inte igen det.,I don't recognize it.
Är det något särskilt som du vill ha att dricka?,Is there something in particular that you want to drink?
Hade jag fel?,Was I wrong?
Hon gillade det.,She liked it.
Jag har gjort kaffe åt dig.,I made you coffee.
Du behöver inte ta av dig skorna.,You need not take off your shoes.
Har han kommit än?,Has he come yet?
Vad säger han?,What does he say?
Jag hittade den just.,I just found it.
Jag vill tro dig.,I want to believe you.
Ge aldrig upp!,Never give up!
Du är längre än mig.,You are taller than me.
Hur illa kan det vara?,How bad can it be?
Han pratade aldrig om det.,He never talked about it.
Jag har bara sett den en gång.,I've only seen it once.
Borde inte du åka hem?,Shouldn't you go home?
Är det illa?,Is it bad?
Jag kan inte göra det just nu.,I can't do it right now.
Han ser lite trött ut.,He looks a bit tired.
Jag har svårt att tro på det.,This is hard for me to believe.
Det finns ett glas här.,There's a glass here.
Jag kan inte gå förrän han kommer.,I can't go until he comes.
Hon skulle ha gjort det redan.,She would have done it already.
Vill du ha någonting att äta?,Do you want something to eat?
Jag ska betala dig.,I'll pay you.
Jag önskar bara hjälpa.,I only wish to help.
Jag gjorde kaffe åt er.,I made you coffee.
Det kommer att ta några dagar att gå in de här skorna.,It'll take a few days to break in these shoes.
Det var väldigt svårt.,It was very difficult.
Vi bryr oss inte om vad han gör.,We don't care what he does.
Ge mig något att skriva på.,Give me something to write on.
Ta din tid.,Take your time.
Han tycker om att spela tennis.,He enjoys playing tennis.
Ge mig något att skriva på.,Give me something to sign.
Hur hittade du oss?,How did you find us?
Måste jag betala dig?,Do I have to pay you?
Jag känner inte igen den.,I don't recognize it.
Jag har en annan fråga.,I have another question.
Vad vill ni ha att dricka? Kaffe?,What would you like to drink? Coffee?
Jag hjälper dig.,I'm helping you.
Jag hjälper dig.,I'll help you.
Hur lång tid har vi?,How long have we got?
Hur lång tid har vi?,How long do we have?
Jag vill bara åka hem.,I just want to go home.
Jag vill inte prata om det just nu.,I don't want to talk about it right now.
Ingen av oss vill gifta sig.,Neither of us wants to get married.
Jag gav dig en bok.,I gave you a book.
Jag skulle vilja låna den här.,I'd like to borrow this.
Vad är det som luktar?,What's that smell?
Om du tror att det var mitt fel är du inne på fel spår.,"If you think it was my fault, you're barking up the wrong tree."
"Du får inte läsa, medan du äter.",You must not read while eating.
Vi får inte göra det nu.,We can't do it now.
Tog du ett bad?,Did you take a bath?
Det är min fru.,That's my wife.
Vad är det som tar en sådan tid?,What's taking so long?
Hur stor är han?,How big is he?
Hon hatar honom.,She hates him.
Du älskar kaffe.,You love coffee.
Vad bryr jag mig om det?,What do I care?
Vad fick dig att komma hit?,What made you come here?
Hon gillade den.,She liked it.
Och vad sade de till mig?,And what did they tell me?
Han var rädd att du skulle skjuta honom.,He was scared you would shoot him.
Jag var trött.,I was tired.
Jag känner mig inte för att träffa henne nu.,I don't feel like meeting her now.
Jag sa ingenting.,I didn't say anything.
Jag hittar inte det jag vill ha.,I can't find what I want.
Jag ser fram emot det.,I look forward to it.
Jag ser fram emot det.,I am looking forward to it.
Jag behöver kaffe.,I need coffee.
Berätta vad du såg.,Tell me what you saw.
Jag ska göra det nu.,I'll do it now.
Hur kommer det sig att du alltid är sen?,Why is it that you're always late?
Jag kommer inte ihåg vad hon heter.,I can't remember her name.
Jag kan inte förstå någonting av det han säger.,I can't understand anything he said.
Han hörde illa och kunde inte gå.,He had difficulty in hearing and could not walk.
Mår du bra?,Are you OK?
Jag visade dem hur man gör det.,I showed them how to do it.
Det är dags att gå.,It's time to go.
Jag kommer att gå nu.,I'm going to go now.
Ska vi gå långt?,Are we going far?
Jag måste gå och sova.,I have to go to sleep.
Stanna där ni är!,Stand where you are!
Jag visade för dem hur man gör.,I showed them how to do it.
Jag visste att du skulle bli arg.,I knew you'd be mad.
Borde inte ni åka hem?,Shouldn't you go home?
Jag vill skriva en bok.,I want to write a book.
Vad träffade du?,What did you hit?
Jag tycker om tennis.,I like tennis.
Jag ska hämta boken.,I'll get the book.
Kan jag lita på dig?,Can I count on you?
Var arbetar du?,Where do you work?
Du måste hem.,You must go home.
Jag skulle vilja ha ett svar.,I'd like to have an answer.
Jag frågade vem han var.,I asked who he was.
Tror du på mig nu?,Do you believe me now?
Jag har lite pengar.,I have some money.
Jag trodde att det skulle vara värt det.,I thought it'd be worth it.
Vann du?,Did you win?
Jag ljög för dig.,I lied to you.
Det sade du inte.,You did not say so.
Vad för dig hit?,What brings you here?
